SECCIO_CENSAL,HOMES,DONES,EDAT_0_A_14,EDAT_15_A_24,EDAT_25_A_64,EDAT_65_A_MES,NACIONALS,COMUNITARIS,ESTRANGERS
01001,697,563,132,116,805,207,679,149,432
01002,757,690,151,175,910,211,608,198,641
01003,2033,1660,746,533,2025,389,1875,283,1535
01004,1576,1338,340,321,1947,306,1513,337,1064
01005,1263,1110,285,233,1542,313,1219,341,813
01006,886,653,150,186,1016,187,663,253,623
01007,1175,806,260,190,1385,146,871,261,849
01008,1951,1331,436,387,2077,382,1357,291,1634
01009,1205,1021,313,210,1447,256,1049,204,973
01010,1349,1096,349,300,1591,205,989,229,1227
01011,1786,1413,464,367,2108,260,1307,314,1578
01012,983,950,235,180,1285,233,979,220,734
01013,694,730,170,114,914,226,802,121,501
01014,1174,948,213,224,1457,228,1034,162,926
01015,1196,1155,311,227,1567,246,1056,261,1034
01016,1118,1086,281,216,1481,226,970,229,1005
01017,1292,1322,351,281,1731,251,1167,257,1190
01018,783,768,189,181,967,214,818,167,566
01019,1586,1339,324,303,1980,318,1250,394,1281
01020,1048,1115,136,201,1461,365,1215,455,493
01021,1102,1042,165,178,1495,306,1138,381,625
01022,778,703,87,177,1004,213,745,295,441
01023,1034,1078,160,187,1474,291,1154,401,557
01025,689,669,83,138,981,156,627,375,356
01026,6424,1810,471,983,6375,405,1506,572,6156
01027,752,791,97,154,1066,226,815,353,375
01028,918,969,139,199,1318,231,882,510,495
01029,706,707,94,169,989,161,582,410,421
01030,1214,1216,210,253,1584,383,1259,485,686
01031,841,733,139,154,1102,179,713,354,507
01032,919,896,105,140,1263,307,1028,392,395
01033,567,546,81,80,775,177,602,210,301
01034,467,487,53,106,643,152,540,225,189
01035,635,621,82,123,845,206,701,277,278
01036,562,619,103,127,710,241,882,133,166
01037,659,736,129,126,862,278,997,191,207
01038,826,686,99,143,1096,174,709,378,425
01039,668,674,95,124,896,227,828,226,288
01040,538,563,85,89,730,197,601,253,247
01041,785,774,114,139,1144,162,723,389,447
01042,817,968,162,153,988,482,1362,199,224
01043,846,799,161,147,1137,200,960,381,304
01044,656,725,135,110,942,194,840,308,233
01045,979,971,119,134,1456,241,971,546,433
01046,934,882,130,152,1324,210,859,506,451
01047,814,889,127,147,1165,264,931,348,424
01048,1030,1069,225,216,1401,257,1136,422,541
01049,741,808,212,154,977,206,808,289,452
01050,775,796,143,142,1080,206,819,358,394
01051,923,913,172,153,1344,167,880,397,559
01052,1617,1244,257,652,1618,334,1400,536,925
01053,871,955,131,147,1194,354,1125,336,365
01054,642,602,89,104,865,186,683,285,276
01055,657,689,154,98,760,334,970,216,160
02001,635,659,172,113,774,235,940,118,236
02002,1885,1569,341,365,2217,531,1628,246,1580
02003,515,677,97,165,602,328,950,99,143
02004,747,781,163,143,922,300,1044,192,292
02005,943,1124,219,168,1143,537,1683,137,247
02006,791,891,208,140,938,396,1264,184,234
02007,577,719,120,97,739,340,965,171,160
02008,881,1035,208,195,1091,422,1466,228,222
02009,848,978,229,151,1084,362,1356,168,302
02010,580,675,165,100,722,268,961,126,168
02011,559,569,94,120,643,271,934,105,89
02012,761,790,172,136,908,335,1160,119,272
02013,573,598,140,106,738,187,855,151,165
02014,677,699,177,108,891,200,987,187,202
02015,769,825,160,138,972,324,1128,171,295
02016,854,1020,196,139,1115,424,1487,167,220
02017,899,1055,218,196,1147,393,1500,183,271
02018,842,992,206,162,964,502,1458,154,222
02019,927,1040,225,153,1161,428,1489,183,295
02020,711,781,135,146,960,251,1013,188,291
02021,722,805,165,105,910,347,1169,147,211
02022,637,667,147,128,770,259,999,66,239
02023,492,572,77,74,641,272,909,56,99
02024,506,626,97,89,727,219,790,81,261
02025,563,603,116,102,677,271,901,98,167
02026,979,1184,207,228,1257,471,1637,147,379
02027,959,1118,225,161,1211,480,1584,153,340
02028,942,1136,201,205,1216,456,1577,129,372
02029,601,702,165,99,751,288,1044,90,169
02030,637,733,174,117,836,243,978,99,293
02031,485,571,120,92,548,296,899,64,93
02032,526,687,110,90,628,385,985,87,141
02033,563,656,131,101,717,270,967,91,161
02034,534,696,115,92,739,284,853,97,280
02035,590,727,105,107,753,352,1027,92,198
02036,536,656,126,95,704,267,978,96,118
02037,575,614,111,108,691,279,1026,82,81
02038,744,811,112,206,949,288,1287,79,189
02039,759,981,178,147,1049,366,1341,147,252
02040,807,893,163,128,1087,322,1164,181,355
02041,757,922,163,119,939,458,1333,122,224
02042,722,880,132,134,848,488,1422,58,122
02043,711,787,178,125,894,301,1239,81,178
02044,585,696,135,105,719,322,965,98,218
02045,536,620,127,87,632,310,916,76,164
02046,909,1049,233,167,1165,393,1495,125,338
02047,916,1027,205,194,1083,461,1481,120,342
02048,586,697,137,120,779,247,900,109,274
02049,966,1136,181,154,1288,479,1419,217,466
02050,750,900,145,130,1053,322,1171,184,295
02051,882,991,155,177,1157,384,1252,220,401
02052,853,988,188,170,1144,339,1278,223,340
02053,852,972,172,149,1133,370,1380,178,266
02054,867,1016,230,137,1066,450,1470,170,243
02055,860,955,172,157,1076,410,1431,141,243
02056,656,829,161,133,891,300,1118,176,191
02057,613,702,183,114,697,321,1062,143,110
02058,653,746,167,110,768,354,1163,105,131
02059,741,948,205,121,979,384,1305,160,224
02060,772,947,215,156,961,387,1331,163,225
02061,607,765,140,133,842,257,1007,154,211
02062,717,791,185,136,892,295,1164,197,147
02063,505,757,133,117,613,399,979,145,138
02064,612,714,159,117,731,319,1048,155,123
02065,902,1014,232,168,1185,331,1427,257,232
02066,818,953,178,136,996,461,1430,140,201
02067,784,902,197,137,1087,265,1192,232,262
02068,763,868,180,109,992,350,1203,208,220
02069,636,725,164,138,753,306,1043,166,152
02070,580,697,133,155,718,271,969,142,166
02071,800,893,200,152,1006,335,1338,198,157
02072,588,607,137,132,659,267,982,114,99
02073,762,899,176,182,970,333,1236,260,165
02074,609,642,151,132,747,221,828,216,207
02075,613,681,145,139,756,254,889,236,169
02076,763,859,192,171,924,335,1224,194,204
02077,847,798,130,176,1026,313,1028,270,347
02078,621,731,139,147,736,330,901,196,255
02079,659,705,153,140,778,293,944,168,252
02080,778,790,167,141,919,341,1124,187,257
02081,954,1128,202,196,1199,485,1561,228,293
02082,419,486,74,87,502,242,703,107,95
02083,836,976,202,212,984,414,1337,213,262
02084,918,1121,211,192,1232,404,1555,222,262
02085,633,792,144,132,857,292,1071,192,162
02086,666,767,187,147,854,245,1130,142,161
02087,676,810,172,142,878,294,1155,142,189
02088,763,884,162,160,973,352,1254,199,194
02089,862,949,182,164,1132,333,1358,212,241
02090,759,910,161,149,1043,316,1155,205,309
02091,898,934,144,186,1174,328,1256,246,330
02092,1498,1020,142,245,1801,330,1228,317,973
02093,797,865,139,168,1005,350,1236,181,245
02094,731,774,118,112,929,346,1088,158,259
02095,738,776,135,143,923,313,1113,158,243
02096,679,762,121,107,885,328,1031,178,232
02097,501,571,105,79,671,217,784,108,180
02098,700,816,144,130,941,301,1076,178,262
02099,756,845,171,168,965,297,1177,161,263
02100,628,697,103,97,800,325,1096,93,136
02101,1022,1193,243,178,1262,532,1629,207,379
02102,625,781,153,134,764,355,1210,91,105
02103,755,887,157,114,1026,345,1229,148,265
02104,529,643,141,93,628,310,966,57,149
02105,948,1151,202,187,1272,438,1580,181,338
02106,664,769,194,109,816,314,1151,116,166
02107,739,904,175,156,878,434,1379,121,143
02108,748,930,223,128,879,448,1403,112,163
02109,935,1115,230,224,1065,531,1747,117,186
02110,894,1045,250,168,1162,359,1483,152,304
02111,847,1011,215,137,1109,397,1450,137,271
02112,621,706,128,109,676,414,1149,79,99
02113,1069,1173,324,175,1127,616,1888,110,244
02114,761,936,163,141,908,485,1393,94,210
02115,629,748,163,132,770,312,1072,90,215
02116,477,550,125,94,554,254,904,29,94
02117,533,675,130,81,643,354,973,75,160
02118,683,804,154,145,885,303,1193,104,190
02119,599,661,129,83,697,351,1077,60,123
02120,563,608,91,93,676,311,985,65,121
02121,595,681,137,109,729,301,1035,86,155
02122,483,578,99,96,567,299,910,57,94
02123,538,586,95,79,682,268,876,108,140
02124,491,590,114,82,571,314,952,43,86
02125,769,938,180,130,917,480,1456,84,167
02126,670,798,136,127,806,399,1250,81,137
02127,559,607,114,95,711,246,874,95,197
02128,603,720,120,99,814,290,1002,99,222
02129,681,848,126,118,878,407,1222,70,237
02130,536,610,124,89,580,353,1011,42,93
02131,543,645,119,98,678,293,884,81,223
02132,532,562,104,81,635,274,879,53,162
02133,374,473,75,62,400,310,740,29,78
02134,699,780,132,112,838,397,1180,95,204
02135,1015,1149,216,190,1349,409,1657,165,342
02136,412,484,75,75,512,234,736,53,107
02137,707,776,147,126,918,292,1061,137,285
02138,929,1043,207,175,1102,488,1598,130,244
02139,784,886,140,138,1077,315,1194,195,281
02140,876,1041,196,161,1147,413,1543,138,236
02141,558,630,118,109,686,275,901,70,217
02142,948,1075,207,200,1221,395,1497,158,368
02143,693,689,133,109,853,287,982,151,249
02144,732,851,142,178,961,302,1146,179,258
02145,605,649,120,101,800,233,898,114,242
02146,542,629,99,104,701,267,897,95,179
02147,1037,1177,219,199,1339,457,1670,177,367
02148,695,864,141,127,919,372,1255,113,191
02149,885,955,212,158,1149,321,1365,163,312
02150,721,786,141,132,938,296,1056,154,297
02151,718,811,148,134,952,295,1095,163,271
02152,578,689,109,95,662,401,1015,96,156
02153,637,727,149,108,723,384,1130,65,169
02154,523,565,103,79,701,205,724,114,250
02155,872,1006,186,156,1046,490,1474,125,279
02156,613,666,99,108,678,394,1040,77,162
02157,574,667,138,107,685,311,942,95,204
02158,768,836,172,127,879,426,1285,121,198
02159,931,997,218,183,1137,390,1448,162,318
02160,934,1029,195,156,1155,457,1576,132,255
02161,573,638,114,120,746,231,877,141,193
02162,694,740,127,131,837,339,1072,107,255
02163,851,971,156,145,1120,401,1381,180,261
02164,727,769,136,142,955,263,1002,197,297
02165,824,893,175,123,1063,356,1267,167,283
02166,1002,1085,234,160,1288,405,1499,206,382
02167,1032,1133,235,194,1218,518,1711,169,285
02168,1083,1236,260,173,1434,452,1673,227,419
02169,755,811,159,109,995,303,1178,175,213
02170,720,830,149,134,917,350,1200,114,236
02171,793,864,175,136,967,379,1193,131,333
02172,752,812,163,119,1004,278,1133,157,274
02173,706,793,144,132,914,309,1164,120,215
03001,813,881,169,141,993,391,1267,136,291
03002,947,984,200,159,1221,351,1321,194,416
03003,829,900,203,157,1105,264,1105,154,470
03004,780,848,163,115,1033,317,1164,144,320
03005,592,638,137,80,710,303,874,109,247
03006,699,709,158,127,907,216,922,169,317
03007,805,882,200,154,1019,314,1171,162,354
03008,543,612,129,92,714,220,797,106,252
03009,576,660,115,98,771,252,877,105,254
03010,1004,912,195,203,1262,256,1152,215,549
03011,856,880,219,160,1150,207,1028,190,518
03012,1042,1110,208,197,1415,332,1324,292,536
03013,908,917,192,195,1224,214,1068,285,472
03014,889,877,181,157,1177,251,1072,256,438
03015,1455,1517,322,299,1916,435,1759,393,820
03016,580,637,128,118,800,171,713,154,350
03017,845,819,189,149,1125,201,949,263,452
03018,876,848,192,165,1038,329,1187,151,386
03019,729,832,194,126,1004,237,971,151,439
03020,637,597,112,90,703,329,970,81,183
03021,523,592,105,91,598,321,888,70,157
03022,705,713,163,125,846,284,1035,131,252
03023,945,982,227,165,1257,278,1288,228,411
03024,1042,1027,262,186,1356,265,1351,286,432
03025,644,608,152,106,765,229,1076,15,161
03026,487,544,108,78,459,386,917,28,86
03027,843,927,202,243,929,396,1564,50,156
03028,1298,1374,529,288,1525,330,2109,107,456
03029,635,685,140,149,776,255,1154,41,125
03030,746,877,166,174,935,348,1314,58,251
03031,1176,1271,292,252,1331,572,2171,48,228
03032,824,888,261,147,981,323,1402,75,235
03033,749,746,199,163,842,291,1054,45,396
03034,736,795,160,178,904,289,1284,27,220
03035,1099,1193,230,220,1286,556,1964,56,272
03036,1175,1266,315,253,1393,480,2055,94,292
03037,501,548,95,120,667,167,940,18,91
03038,461,513,143,119,493,219,884,13,77
03039,1246,1330,410,274,1462,430,1953,76,547
03040,699,794,125,123,814,431,1301,64,128
03041,657,757,149,144,810,311,1107,101,206
03042,680,725,139,149,848,269,1043,92,270
03043,757,928,140,158,895,492,1308,115,262
03044,887,994,190,178,1154,359,1349,137,395
03045,523,555,126,72,657,223,832,112,134
03046,668,755,107,108,808,400,1167,93,163
03047,850,939,183,155,1138,313,1383,133,273
03048,645,711,113,98,817,328,1062,77,217
03049,786,870,198,100,980,378,1228,135,293
03050,809,834,147,120,1069,307,1217,178,248
03051,960,979,255,181,1259,244,1308,180,451
03052,610,695,158,122,832,193,922,118,265
03053,1061,1162,295,188,1362,378,1529,183,511
03054,827,887,168,150,990,406,1362,113,239
03055,762,831,133,126,970,364,1253,104,236
03056,405,503,90,67,503,248,721,46,141
03057,697,811,138,114,848,408,1292,63,153
03058,805,970,227,135,1030,383,1501,98,176
03059,601,624,149,82,698,296,981,50,194
03060,686,710,137,111,797,351,1210,51,135
03061,539,601,114,88,645,293,898,54,188
03062,747,871,190,146,910,372,1364,83,171
03063,927,984,340,158,1141,272,1518,101,292
03064,556,645,137,108,703,253,1047,42,112
03065,658,705,106,123,863,271,1241,23,99
03066,1120,1220,294,224,1353,469,1957,83,300
03067,822,935,198,137,974,448,1475,44,238
03068,551,636,119,86,647,335,985,34,168
03069,581,622,130,96,669,308,1036,31,136
03070,647,675,131,121,759,311,1032,72,218
03071,638,681,151,147,763,258,1035,71,213
03072,706,764,157,142,870,301,1116,42,312
03073,783,838,159,131,980,351,1340,68,213
03074,838,942,201,136,1018,425,1439,73,268
03075,830,933,219,168,1017,359,1391,57,315
03076,506,585,115,81,606,289,857,42,192
03077,603,733,137,129,749,321,1074,65,197
03078,835,924,213,148,1081,317,1308,91,360
03079,847,964,205,188,1088,330,1311,87,413
03080,695,858,154,142,875,382,1276,48,229
03081,904,1019,193,188,1097,445,1496,75,352
03082,904,1042,208,185,1149,404,1529,89,328
03083,645,750,126,93,844,332,1156,61,178
03084,666,777,157,121,732,433,1251,47,145
03085,632,743,154,101,824,296,1103,69,203
03086,591,645,109,112,637,378,1104,54,78
03087,697,778,153,127,776,419,1235,45,195
03088,669,738,166,108,771,362,1158,81,168
03089,567,668,129,96,655,355,1089,54,92
03090,472,544,92,102,574,248,906,51,59
03091,726,767,166,155,917,255,1190,78,225
03092,567,650,140,101,743,233,996,76,145
03093,702,815,144,158,866,349,1346,45,126
03094,574,652,144,99,686,297,1067,55,104
03095,756,873,180,150,955,344,1293,100,236
03096,733,834,177,146,995,249,1171,103,293
03097,834,901,197,159,1163,216,1129,129,477
03098,712,734,174,147,894,231,1052,101,293
03099,442,535,124,75,604,174,793,59,125
03100,608,728,165,105,790,276,1006,100,230
03101,2528,1712,471,468,2889,412,1670,270,2300
03102,631,676,157,109,769,272,1015,60,232
03103,543,649,131,81,605,375,1053,35,104
03104,685,742,141,128,906,252,1070,111,246
03105,526,652,135,112,719,212,927,64,187
03106,590,672,146,103,810,203,963,118,181
03107,784,827,179,140,943,349,1276,70,265
03108,789,881,218,127,1015,310,1242,108,320
03109,762,803,172,137,992,264,1208,121,236
03110,706,820,170,115,913,328,1222,85,219
03111,584,690,165,84,765,260,1058,69,147
03112,892,987,208,157,1085,429,1571,85,223
03113,776,896,168,160,890,454,1337,80,255
03114,705,786,130,139,821,401,1274,86,131
03211,769,778,166,217,939,225,1325,16,206
03212,1173,1313,283,237,1299,667,1951,79,456
03213,1207,1272,326,306,1464,383,1794,68,617
04001,595,672,146,125,739,257,999,68,200
04002,924,1010,247,165,1040,482,1705,64,165
04003,515,558,120,84,570,299,940,29,104
04004,470,528,102,68,582,246,853,35,110
04005,562,666,149,92,656,331,1085,36,107
04006,503,598,124,95,566,316,965,36,100
04007,476,605,113,83,557,328,909,51,121
04008,470,532,114,73,562,253,849,23,130
04009,679,794,173,114,858,328,1235,66,172
04010,416,503,100,114,482,223,787,32,100
04011,828,935,243,139,846,535,1541,71,151
04012,669,767,131,130,759,416,1257,50,129
04013,572,660,131,107,655,339,1102,44,86
04014,383,457,92,79,419,250,739,23,78
04015,857,1054,201,166,1095,449,1695,65,151
04016,506,576,115,69,584,314,963,43,76
04017,556,652,155,74,624,355,1031,59,118
04018,700,843,177,168,790,408,1339,80,124
04019,645,722,178,148,684,357,1172,71,124
04020,694,804,216,157,756,369,1301,68,129
04021,613,713,158,134,681,353,1133,75,118
04022,778,846,165,152,898,409,1294,100,230
04023,489,560,131,132,491,295,916,41,92
04024,484,554,148,109,495,286,968,21,49
04025,534,640,161,97,668,248,1035,52,87
04026,539,679,150,84,631,353,1089,56,73
04027,618,714,172,122,759,279,1088,96,148
04028,615,704,161,100,670,388,1141,59,119
04029,507,614,132,78,558,353,1015,26,80
04030,835,1002,264,131,875,567,1632,74,131
04031,969,963,226,183,1111,412,1403,103,426
04032,708,848,186,111,837,422,1401,36,119
04033,533,631,144,92,617,311,1017,44,103
04034,722,778,160,126,708,506,1368,45,87
04035,634,757,174,98,707,412,1247,40,104
04036,774,947,244,137,891,449,1455,68,198
04037,959,1134,229,186,1089,589,1805,68,220
04038,585,677,125,100,653,384,1130,22,110
04039,560,652,151,99,714,248,1018,47,147
04040,788,838,233,152,950,291,1256,77,293
04041,636,725,147,116,786,312,1071,55,235
04042,826,946,156,126,981,509,1462,60,250
04043,744,880,165,129,787,543,1500,40,84
04044,742,846,172,116,895,405,1389,57,142
04045,663,751,184,117,728,385,1193,66,155
04046,1177,1266,301,205,1167,770,2234,86,123
04047,856,985,229,184,956,472,1613,86,142
04048,696,804,155,141,786,418,1361,49,90
04049,543,616,165,145,575,274,987,70,102
04050,955,1070,330,192,920,583,1838,97,90
04051,748,914,249,189,816,408,1447,81,134
04052,994,1214,323,261,974,650,1910,130,168
04053,779,865,221,208,910,305,1169,150,325
04054,477,548,149,112,471,293,876,61,88
04055,748,778,257,210,698,361,1196,222,108
04056,835,939,279,242,869,384,1268,205,301
04084,639,738,183,130,634,430,1231,44,102
05001,884,870,297,208,1035,214,1449,195,110
05002,780,815,285,187,812,311,1365,160,70
05003,677,702,244,166,762,207,1189,117,73
05004,469,649,169,160,471,318,967,62,89
05005,615,645,198,206,591,265,933,146,181
05006,890,913,305,283,816,399,1494,194,115
05007,912,884,259,169,953,415,1450,150,196
05008,797,910,302,187,830,388,1496,113,98
05009,774,945,277,198,852,392,1484,130,105
05010,743,843,291,176,769,350,1375,124,87
05011,627,787,240,145,740,289,1239,87,88
05012,621,767,225,149,744,270,1216,87,85
05013,796,898,278,168,924,324,1481,126,87
05014,750,868,295,149,787,387,1373,146,99
05015,733,883,336,160,798,322,1395,128,93
05016,883,1028,380,207,978,346,1623,127,161
05017,727,860,272,192,774,349,1393,107,87
05018,582,697,195,155,613,316,1121,73,85
05019,777,921,305,191,809,393,1501,79,118
05020,540,618,152,127,621,258,1023,44,91
05021,622,707,227,194,639,269,1099,63,167
05022,772,1001,294,184,824,471,1613,57,103
05023,677,814,247,137,774,333,1310,70,111
05024,897,1035,310,262,916,444,1718,110,104
05025,604,703,199,184,637,287,1153,46,108
05026,690,757,249,198,683,317,1334,64,49
05027,675,734,244,197,667,301,1297,62,50
05028,846,861,301,198,890,318,1504,92,111
05029,802,872,302,249,795,328,1538,70,66
05030,649,756,247,209,643,306,1323,32,50
05031,790,882,273,250,743,406,1462,104,106
05032,844,975,269,248,877,425,1462,146,211
05033,672,744,289,158,677,292,1211,91,114
05034,639,692,286,140,650,255,1052,72,207
05035,508,532,117,111,478,334,968,22,50
05036,827,924,297,242,823,389,1569,88,94
05037,636,817,238,191,703,321,1274,54,125
05038,620,739,158,139,756,306,1084,101,174
05039,716,806,265,177,693,387,1420,33,69
05040,638,793,214,146,792,279,1212,93,126
05041,959,995,247,212,1145,350,1476,136,342
05042,609,691,161,138,704,297,1113,60,127
05043,658,785,196,158,801,288,1227,81,135
05044,588,754,219,133,723,267,1169,60,113
05045,735,919,281,224,821,328,1513,57,84
05046,506,652,153,134,512,359,1097,31,30
05047,564,701,228,141,640,256,1159,56,50
05048,573,698,181,164,640,286,1158,43,70
05049,748,942,251,230,827,382,1515,67,108
05050,761,880,225,185,887,344,1438,72,131
05051,748,865,239,241,786,347,1439,65,109
05052,643,812,233,187,710,325,1326,58,71
05053,692,787,194,214,726,345,1327,73,79
05054,462,579,141,141,510,249,901,64,76
05055,653,774,212,211,663,341,1274,51,102
05056,503,703,165,125,586,330,1016,69,121
05057,779,889,178,221,811,458,1455,63,150
05058,725,847,238,191,764,379,1305,116,151
05059,681,868,205,163,810,371,1325,96,128
05060,513,660,179,159,574,261,981,103,89
05061,646,817,142,120,885,316,1161,117,185
05062,703,920,226,202,846,349,1382,109,132
05063,714,886,246,162,845,347,1406,87,107
05064,710,918,200,189,878,361,1344,112,172
05065,770,933,240,187,913,363,1381,133,189
05066,593,733,158,168,691,309,1111,70,145
05067,581,714,176,138,659,322,1113,83,99
05068,684,819,216,146,828,313,1259,109,135
05069,817,942,279,170,986,324,1518,117,124
05070,642,825,190,158,792,327,1231,104,132
05071,729,934,225,161,934,343,1353,129,181
05072,786,994,256,192,922,410,1541,92,147
05073,735,904,202,159,914,364,1381,108,150
05074,785,907,236,199,856,401,1491,92,109
05075,820,1043,275,213,943,432,1608,123,132
05076,635,782,200,126,740,351,1238,86,93
05077,666,795,231,202,737,291,1314,70,77
05078,996,1147,353,285,1100,405,1910,106,127
05079,588,703,172,140,707,272,1105,82,104
05080,649,767,181,153,798,284,1180,121,115
05081,729,885,238,192,847,337,1347,106,161
05082,742,901,220,168,934,321,1386,126,131
05083,592,703,163,105,732,295,1113,90,92
05084,585,739,159,140,718,307,1099,112,113
05085,631,692,193,131,741,258,1087,116,120
05086,629,738,200,135,770,262,1134,105,128
05087,709,870,194,172,865,348,1349,86,144
05088,873,916,214,228,980,367,1487,99,203
05089,865,927,259,182,977,374,1498,132,162
05090,897,1027,250,180,1098,396,1535,200,189
05091,694,870,212,157,832,363,1329,121,114
05092,763,882,202,206,873,364,1444,82,119
05093,482,642,150,120,600,254,989,55,80
05094,1231,1536,423,338,1381,625,2437,150,180
05095,772,950,250,185,893,394,1448,106,168
05096,516,628,163,104,633,244,965,74,105
05097,789,891,282,170,900,328,1397,148,135
05098,707,890,187,152,893,365,1279,117,201
06001,539,717,160,103,702,291,980,118,158
06002,681,822,175,130,833,365,1192,103,208
06003,1125,1190,298,180,1350,487,1859,193,263
06004,714,742,176,120,833,327,1231,91,134
06006,496,539,144,110,553,228,920,57,58
06007,882,999,278,184,1087,332,1622,94,165
06008,900,1133,257,196,1096,484,1693,118,222
06009,619,687,207,136,682,281,1131,90,85
06010,503,565,133,92,554,289,896,57,115
06011,626,686,162,143,664,343,1184,60,68
06012,555,620,144,93,597,341,979,95,101
06013,825,946,191,178,1052,350,1406,134,231
06014,659,779,177,120,754,387,1221,80,137
06015,669,752,181,120,844,276,1159,72,190
06016,745,839,213,138,960,273,1267,92,225
06017,656,742,189,114,802,293,1176,92,130
06018,618,682,150,83,808,259,999,167,134
06019,708,811,181,143,877,318,1229,118,172
06020,541,638,139,82,677,281,941,75,163
06021,637,743,200,119,717,344,1171,80,129
06022,711,689,160,188,734,318,1084,118,198
06023,602,711,159,96,631,427,1234,40,39
06024,776,955,225,145,912,449,1463,111,157
06025,644,771,183,123,712,397,1285,41,89
06026,476,562,105,78,571,284,862,74,102
06027,532,691,159,113,645,306,1041,69,113
06028,653,700,159,103,826,265,1067,121,165
06029,611,700,127,92,758,334,1051,120,140
06030,627,698,151,89,843,242,1028,158,139
06031,509,594,98,77,698,230,869,134,100
06032,520,648,151,79,698,240,975,96,97
